DATE,Product,Sales_Quantity,CFG,CHANNEL_ID,PRODUCT_ID,Model_NAME,SCHEDULER_NAME,Pending_Order,Target
24-12-2016,HDD_NB_DT,8,HDD_500GB_SATA_6G_DT,5000236,52551,AMAZONSFFBTX,BTX_OPTIPLEX_DESKTOPS,1,Bad
20-02-2016,CORD,10,CABLE-K260C,1865,75904,PR50713PLANOB,JACQUEL_HIGHTOWER(LARGE ORDERS),1,Good
16-04-2016,ODD Mechanical,13,4270E_CFG,1865,60145,TULIP15BSWBTX,BTX_PERSONAL_NOTEBOOKS,1,Normal
16-07-2016,CORD,10,3VPJ3_Power Cord,2505,68976,PRGOLIADMLK143,LARGE ORDER_BCC LATITUDE,1,Good
02-04-2016,Graphic Card,19,"CRD,GRPHC,2GB,K2200",5000960,62530,FARALLONMTFCTO,FUEY_CHUIN_CHUAH (GRPH/NTWK/CTRL_FWS/OPTI ),186,Good
30-07-2016,ODM Mechanical,13,"4PG2G-KIT,CVR,LCD,RED,0S,3162",5000236,70901,ROCKET11BSWBTX,PHOAY_HOON_TAN (PERSONAL NB),1,Good
25-06-2016,ODD,13,RMSD_9_5_DVDRW_SATA_Bare_Std,2190,61687,LOTUSMTBTX,BTX_PERSONAL_DESKTOPS,36,Normal
08-10-2016,ODD,13,RMSD_9_5_DVDRW_SATA_Bare_Std,1865,62442,WHITEFISH SFF,JANICE_KHOO_ OPTICALS_OPTI/PWS_DT,6455,Good
16-07-2016,Projector,17,"Y07PW-CASE,CRYG,FPR,SOFT,1210S,1410X",5000960,199,PARTS,KAE_SHIN_HOH,1,Good
24-12-2016,HDD_NB_DT,8,HDD_500GB_SATA_6G_DT,5000236,52551,AMAZONSFFBTX,BTX_OPTIPLEX_DESKTOPS,1,Bad
04-03-2017,ODD Mechanical,13,4XV60_SCR,1865,83545,PR55117SALADO15,DEBRALEA_ROGERS(LARGE ORDERS),1,Good
09-07-2016,Memory,13,MEM_SODIMM_DDR3L_1600_4GB,1865,57347,CORAL BTX,BTX_ALIENWARE_DESKTOPS,1,Normal
30-04-2016,Nic Card,22,ASSY_BZL_2U_13G_8RFGM,2190,76025,PR31831BEACHCOMB,ROBBIE_FITZGERALD_ESG_LARGE_ORDERS,1,Good
15-04-2017,ODD,13,RMSD_HH_DVD_SATA_Bare,5001417,51714,AMAZON MT,LI_THENG_FOO,1,Good
05-03-2016,HDD_NB_DT,8,HDD_NB_2_5_500GB_7200_SATA3,1865,56835,DOGFISH 3 BTX,BTX_OPTIPLEX_DESKTOPS,1,Normal
16-07-2016,Keyboard_NBK,17,"NBKYBD_KYBD,101,US-INTL,M14NXC",5001415,60150,TULIP15SKLBTX,BEE_KIM_KANG,2046,Good
19-11-2016,Keyboard_NBK,17,"NBKYBD_KYBD,102,GER,M14NXCB",2190,62884,LOVELAND15SBTX,BTX_LATITUDE,1,Fair
09-07-2016,Graphic Card,19,Dongle_DP-to-DVI-D(SL),5001416,56530,AVALON7910CTO,SERENA_YANG,2,Good
